id    | role    | slots                          | source                                   | destination                              | 
2805  | driver  |                        [9, 10] | (-121.97032757386329, 37.560179990166745) | (-122.15863156216035, 37.461026331142385) | 
2806  | rider   |                            [4] | (-121.98161196116253, 37.55528917705342) | (-122.0920640064346, 37.378732521163876) | 
2807  | driver  |                         [2, 3] | (-121.9779900026944, 37.55747905210843) | (-122.12910016633913, 37.48333153648121) | 
2808  | rider   |                       [11, 12] | (-122.00773560923017, 37.55733077125068) | (-122.2127080986708, 37.47237175785828) | 
2809  | driver  |                     [8, 9, 10] | (-121.95839647847068, 37.52775071245476) | (-122.13451049919112, 37.474584833960286) | 
2810  | rider   |                            [6] | (-121.94411867144784, 37.49729778282829) | (-122.04937552450106, 37.35791923030059) | 
2811  | driver  |                [2, 3, 4, 5, 6] | (-121.97668602190846, 37.55900037040286) | (-122.16091880236748, 37.49047651807741) | 
2812  | rider   |                   [3, 4, 5, 6] | (-121.93825898039827, 37.50309003212498) | (-122.14046988140375, 37.437761104168985) | 
2813  | rider   |                       [13, 14] | (-121.97808803719214, 37.550911312779526) | (-122.1602586903404, 37.45578214129653) | 
2814  | rider   |                [9, 10, 11, 12] | (-122.0055140828827, 37.55980490241388) | (-122.23971862401817, 37.4774559461224) | 
2815  | driver  |                      [6, 7, 8] | (-121.9531457581692, 37.53205101934687) | (-122.10625282451707, 37.447627628443975) | 
2816  | driver  |                    [9, 10, 11] | (-121.93547259905931, 37.50329390617327) | (-122.0782129872336, 37.35456723354246) | 
2817  | rider   |                   [5, 6, 7, 8] | (-121.93990523962249, 37.50098084083676) | (-122.0611508028629, 37.41633939385889) | 
2818  | rider   |                         [8, 9] | (-122.006154368772, 37.55772283316839) | (-122.22099325791702, 37.478915955080616) | 
2819  | driver  |        [9, 10, 11, 12, 13, 14] | (-121.97567281240255, 37.553729018566706) | (-122.22083670487645, 37.46568513234097) | 
2820  | rider   |                            [8] | (-122.00966059499079, 37.56031804796463) | (-122.24610103755887, 37.46046479699444) | 
2821  | rider   |                         [2, 3] | (-122.007308315724, 37.56441917403404) | (-122.22301949845816, 37.4929356002706) | 
2822  | driver  |                  [7, 8, 9, 10] | (-121.97706095467564, 37.557686488292354) | (-122.1233682525869, 37.373431753254785) | 
2823  | driver  |                 [8, 9, 10, 11] | (-122.00684351490438, 37.5556254278528) | (-122.15053214344654, 37.47691708505192) | 
2824  | rider   |                 [8, 9, 10, 11] | (-121.93930060682125, 37.50034049397615) | (-122.16586077118689, 37.46233002824488) | 
2825  | rider   |                         [5, 6] | (-122.00822102327496, 37.559230754195475) | (-122.25777592367923, 37.5163926381286) | 
2826  | driver  |                   [10, 11, 12] | (-121.9511276272484, 37.53005049619144) | (-122.08889711028867, 37.35588013196358) | 
2827  | rider   |                         [6, 7] | (-121.941539149444, 37.49656140103801) | (-122.17146694383295, 37.4954695182431) | 
2828  | rider   |                         [8, 9] | (-121.94925044425703, 37.53796354360347) | (-122.07465804967086, 37.39943305799774) | 
2829  | driver  |                        [9, 10] | (-121.97526178281039, 37.56442355517334) | (-122.1440213495531, 37.46824978734255) | 
2830  | rider   |                      [3, 4, 5] | (-121.95274126735754, 37.530382372772294) | (-122.23075158534058, 37.48741882689686) | 
2831  | rider   |                       [11, 12] | (-121.97611515522519, 37.556571705118465) | (-122.24484228127892, 37.51885093381569) | 
2832  | driver  |                [9, 10, 11, 12] | (-122.00741825543223, 37.557148663431796) | (-122.23732196349134, 37.487926314027334) | 
2833  | driver  |                   [5, 6, 7, 8] | (-121.95506264529524, 37.530054594164376) | (-122.14099528115766, 37.49188693994018) | 
2834  | rider   |             [2, 3, 4, 5, 6, 7] | (-122.00899601143722, 37.55754791366277) | (-122.07576538151636, 37.36029808635485) | 
2835  | driver  |                         [8, 9] | (-121.9401111586624, 37.50338917868888) | (-122.14989237925458, 37.46429857328868) | 
2836  | rider   |                         [7, 8] | (-121.98268384402589, 37.5614637535662) | (-122.05999621801232, 37.35759708222384) | 
2837  | rider   |                   [6, 7, 8, 9] | (-121.95202215777971, 37.53521573869339) | (-122.23423048757364, 37.47110458041176) | 
2838  | rider   |          [7, 8, 9, 10, 11, 12] | (-121.93771503847107, 37.502822742868396) | (-122.23637404837669, 37.48658461506543) | 
2839  | rider   |                         [7, 8] | (-122.00544728579828, 37.555682981145296) | (-122.09955512980349, 37.374652411090956) | 
2840  | rider   |                   [4, 5, 6, 7] | (-121.94100035170209, 37.50237509955744) | (-122.13518525302877, 37.42821928765615) | 
2841  | driver  |               [10, 11, 12, 13] | (-121.95027906346505, 37.529208421116145) | (-122.12826632020663, 37.46436438055203) | 
2842  | driver  |                   [6, 7, 8, 9] | (-121.97715216790071, 37.55782137685577) | (-122.18716110007816, 37.465472509945194) | 
2843  | rider   |                         [8, 9] | (-122.00568953536013, 37.55795539182526) | (-122.26613069377508, 37.48563267365763) | 
2844  | rider   |               [11, 12, 13, 14] | (-122.00313458760903, 37.561703007514915) | (-122.16490910089212, 37.47216010895578) | 
2845  | driver  |                         [6, 7] | (-121.95324054465297, 37.53232511872587) | (-122.14716710988863, 37.46126066860815) | 
2846  | driver  |                      [3, 4, 5] | (-121.97960885098396, 37.56089982631691) | (-122.15987764638109, 37.44911616547461) | 
2847  | driver  |                    [9, 10, 11] | (-122.00929689570519, 37.552099710021494) | (-122.24701497439116, 37.489298403011716) | 
2848  | driver  |                       [10, 11] | (-121.9776348053841, 37.55271736484576) | (-122.12822320125845, 37.38671317901895) | 
2849  | driver  |                      [4, 5, 6] | (-122.00062429447577, 37.56133649045921) | (-122.12787321180335, 37.4768196249843) | 
2850  | rider   |                    [9, 10, 11] | (-121.93547255834028, 37.50444250759149) | (-122.25007572214602, 37.48635466436551) | 
2851  | driver  |                      [6, 7, 8] | (-121.9527120851382, 37.534955183744714) | (-122.23058344567633, 37.47466031898809) | 
2852  | driver  |                        [9, 10] | (-121.93954055234322, 37.50206884077679) | (-122.13155246835812, 37.46495372476896) | 
2853  | rider   |           [10, 11, 12, 13, 14] | (-121.97093650338918, 37.55837304401222) | (-122.16431161040373, 37.44692677753927) | 
2854  | rider   |                         [7, 8] | (-122.00396337111246, 37.5617262460507) | (-122.24061736364509, 37.48431775554091) | 
2855  | driver  |           [6, 7, 8, 9, 10, 11] | (-121.95738326026229, 37.53157011864551) | (-122.24389589029525, 37.507355474227545) | 
2856  | rider   |                           [12] | (-121.98399447385249, 37.55770501426106) | (-122.11577327976185, 37.450052576686296) | 
2857  | rider   |                      [7, 8, 9] | (-121.93309994835596, 37.5041800915536) | (-122.14661484425338, 37.468803898691334) | 
2858  | rider   |                  [7, 8, 9, 10] | (-121.97620972988715, 37.561007258941615) | (-122.09518899627041, 37.40993222279546) | 
2859  | rider   |                [4, 5, 6, 7, 8] | (-122.0034248095465, 37.557507633500876) | (-122.14491880273205, 37.45804232904292) | 
2860  | driver  |                            [7] | (-122.00836641222442, 37.55562327321053) | (-122.05301223387566, 37.37486426774641) | 
2861  | rider   |                       [13, 14] | (-121.93954899972304, 37.50201119138405) | (-122.110545013584, 37.39268645040297) | 
2862  | driver  |                         [6, 7] | (-122.00383673835884, 37.55954997586644) | (-122.24306261014132, 37.497281007426274) | 
2863  | driver  |                         [8, 9] | (-121.95891951747471, 37.53660192022911) | (-122.10520082901758, 37.42308713227832) | 
2864  | rider   |     [8, 9, 10, 11, 12, 13, 14] | (-121.9352643406521, 37.50188812752025) | (-122.05712880858837, 37.37448238673654) | 
2865  | driver  |                      [1, 2, 3] | (-121.97439042247065, 37.556539360503464) | (-122.23607783451337, 37.490925435313116) | 
2866  | driver  |                   [5, 6, 7, 8] | (-122.00179627962048, 37.56279586057635) | (-122.17243773196206, 37.47218502161319) | 
2867  | rider   |                      [6, 7, 8] | (-121.93732402020767, 37.504610414729875) | (-122.16268130918512, 37.48995475374686) | 
2868  | rider   |                   [4, 5, 6, 7] | (-122.00091297637918, 37.55490696448754) | (-122.20825786457212, 37.4616069610493) | 
2869  | rider   |                [9, 10, 11, 12] | (-122.01054187004709, 37.55202799042856) | (-122.14228917669442, 37.48722409984133) | 
2870  | rider   |                        [9, 10] | (-121.95242271001464, 37.53281608804481) | (-122.24167325871382, 37.48218022730828) | 
2871  | rider   |                 [8, 9, 10, 11] | (-121.9531751493899, 37.532298838973446) | (-122.13768741132118, 37.4590743879306) | 
2872  | driver  |                   [3, 4, 5, 6] | (-121.9362254777653, 37.50526452484551) | (-122.09638652265438, 37.39297341034526) | 
2873  | driver  |                   [5, 6, 7, 8] | (-121.95694343637791, 37.53457285687212) | (-122.1419982662252, 37.462790857284865) | 
2874  | driver  |         [8, 9, 10, 11, 12, 13] | (-121.97680759715574, 37.55688076636922) | (-122.25289886361695, 37.499733103908746) | 
2875  | driver  |                     [8, 9, 10] | (-121.94810026868694, 37.5294177679218) | (-122.08374763163145, 37.38612346681085) | 
2876  | driver  |      [7, 8, 9, 10, 11, 12, 13] | (-122.00876083145933, 37.561229752521605) | (-122.10384910195691, 37.48588124692215) | 
2877  | rider   |                        [9, 10] | (-121.93861581218336, 37.50245018623096) | (-122.25798253241622, 37.4998759182741) | 
2878  | rider   |                   [4, 5, 6, 7] | (-121.98346228876134, 37.55536701992187) | (-122.14691264333297, 37.458567489588404) | 
2879  | driver  |                            [8] | (-121.98230733276782, 37.561775842533784) | (-122.13489390199231, 37.47621430724111) | 
2880  | rider   |                      [6, 7, 8] | (-121.97698015076021, 37.55715255219399) | (-122.13550238454907, 37.49275001792118) | 
2881  | rider   |                   [10, 11, 12] | (-122.00887455816822, 37.558795251915036) | (-122.13335088177811, 37.47794010847243) | 
2882  | driver  |                         [8, 9] | (-121.94024741795293, 37.50235708801251) | (-122.2498573713782, 37.48929056459903) | 
2883  | driver  |                            [4] | (-121.97713356425892, 37.55765294660515) | (-122.15405603904246, 37.446397174716886) | 
2884  | rider   |               [10, 11, 12, 13] | (-121.95282199404072, 37.53319130969545) | (-122.08439036109617, 37.38072367440342) | 
2885  | rider   |               [10, 11, 12, 13] | (-121.93393832629728, 37.500647583595224) | (-122.13315651962981, 37.47262033702027) | 
2886  | rider   |                            [9] | (-122.00118045670776, 37.56024598086128) | (-122.0820130151457, 37.3975911339235) | 
2887  | driver  |             [4, 5, 6, 7, 8, 9] | (-121.94415957994433, 37.50220990196256) | (-122.15693465194407, 37.467677327525585) | 
2888  | rider   |                         [5, 6] | (-121.94091584839566, 37.49521384343962) | (-122.11182817100023, 37.44244293662614) | 
2889  | driver  |                   [10, 11, 12] | (-121.97977376559184, 37.55823755854472) | (-122.23297449759275, 37.4915688478388) | 
2890  | rider   |                      [7, 8, 9] | (-121.95434782881851, 37.53136105610934) | (-122.07227765451205, 37.404248579335544) | 
2891  | rider   |            [9, 10, 11, 12, 13] | (-121.97864884763209, 37.56204780795833) | (-122.26079397073715, 37.4986658193468) | 
2892  | rider   |      [3, 4, 5, 6, 7, 8, 9, 10] | (-121.95751052529506, 37.53600991872109) | (-122.21556255961791, 37.49788404212296) | 
2893  | rider   |                   [5, 6, 7, 8] | (-121.96028290076681, 37.53378892887739) | (-122.15927618258395, 37.495231920713195) | 
2894  | driver  |                            [7] | (-121.93471523803562, 37.50181207585769) | (-122.04516172336375, 37.40883900286923) | 
2895  | rider   |                  [7, 8, 9, 10] | (-122.01183360952855, 37.5555816200566) | (-122.13514439555826, 37.45024691195967) | 
2896  | rider   |                         [3, 4] | (-121.97954300574233, 37.556929549703256) | (-122.16205095276119, 37.45125492578041) | 
2897  | rider   |                      [1, 2, 3] | (-121.97329622972954, 37.56121301468877) | (-122.17304386785386, 37.44846565660775) | 
2898  | rider   |                      [4, 5, 6] | (-121.95420769638135, 37.528478805519185) | (-122.2795829189927, 37.485235151690034) | 
2899  | driver  |                   [6, 7, 8, 9] | (-121.94071173970701, 37.506579668274505) | (-122.06447999279285, 37.37723008811958) | 
2900  | rider   |                            [9] | (-121.95678241041875, 37.53190253233544) | (-122.08953738788918, 37.392108555884754) | 
2901  | rider   |                   [4, 5, 6, 7] | (-121.95315641052403, 37.53239585474704) | (-122.23589314201966, 37.501455998575295) | 
2902  | driver  |                     [8, 9, 10] | (-121.93695366110049, 37.49986411895166) | (-122.23299199460732, 37.48868765683232) | 
2903  | driver  |     [4, 5, 6, 7, 8, 9, 10, 11] | (-121.97883359339065, 37.55513075177919) | (-122.17158609512425, 37.43474192521134) | 
2904  | driver  |                      [6, 7, 8] | (-122.01118591855123, 37.55581457221859) | (-122.06526177881477, 37.3921643723332) | 
2905  | rider   |                       [10, 11] | (-121.97016077294815, 37.55764285794869) | (-122.23948993198347, 37.48767911297487) | 
2906  | rider   |                     [8, 9, 10] | (-121.94020186051489, 37.494990942918605) | (-122.24062331787532, 37.47425985932236) | 
